batch_id,storage_day,variety,storage_mode,initial_quality_score,curing_score,initial_weight_kg,temperature_C,relative_humidity_pct,mq135_gas_index,avg_temperature_24h_C,avg_humidity_24h_pct,avg_mq135_24h,hours_temp_above_27C_24h,hours_RH_above_65pct_24h,weight_loss_pct,decay_pct,sprouting_pct,remaining_shelf_life_days,usable_storage_endpoint_day,data_type
B111,50,Red,Warm_ambient,0.843,0.735,12.769,30.77,85.72,185.47,31.09,85.17,183.88,7.97,18.69,3.7,21.5,17.04,28,78,synthetic_research_anchored
B028,86,Red,DOGR_like,0.912,0.904,12.891,26.7,62.47,164.14,26.79,62.61,164.25,0.0,0.0,2.45,14.76,16.2,34,120,synthetic_research_anchored
B004,36,Red,Ventilated_ambient,0.75,0.898,11.786,29.69,67.42,142.28,29.14,67.53,140.03,5.8,3.16,1.52,0.1,0.0,84,120,synthetic_research_anchored
B050,86,Red,Ventilated_ambient,0.875,0.85,9.153,24.77,63.24,166.63,24.65,63.56,159.84,0.3,1.01,2.33,27.58,30.64,26,112,synthetic_research_anchored
B051,98,Red,Warm_ambient,0.99,0.865,11.985,30.39,80.74,247.35,30.12,80.27,251.31,8.54,15.46,6.27,58.23,51.66,22,120,synthetic_research_anchored
B087,13,Yellow,Ventilated_ambient,0.773,0.879,11.239,38.45,71.37,174.63,39.06,70.76,173.9,24.0,6.18,2.02,1.09,1.78,84,97,synthetic_research_anchored
B041,54,White,Warm_ambient,0.985,0.828,10.177,38.15,77.39,253.49,38.11,78.19,252.13,24.0,11.88,5.61,59.87,39.23,17,71,synthetic_research_anchored
B139,113,Red,Ventilated_ambient,0.908,0.85,14.222,33.74,73.15,297.09,33.97,72.87,295.43,16.61,8.73,8.3,100.0,100.0,0,97,synthetic_research_anchored
B021,83,Red,Ventilated_ambient,0.949,0.939,19.361,28.19,70.77,246.71,28.08,70.2,250.03,4.98,6.69,3.21,65.44,75.53,7,90,synthetic_research_anchored
B098,111,Yellow,Ventilated_ambient,0.906,0.851,8.952,32.42,62.01,279.34,32.6,62.15,273.89,12.35,1.7,6.24,94.01,95.12,0,66,synthetic_research_anchored
B176,74,Yellow,Warm_ambient,0.78,0.91,16.359,32.7,71.1,250.7,32.31,70.8,251.24,13.06,6.33,4.95,58.08,46.02,18,92,synthetic_research_anchored
B173,19,Yellow,Ventilated_ambient,0.812,0.919,16.293,33.04,83.98,197.92,33.19,83.92,191.94,15.73,19.35,1.64,0.0,0.0,68,87,synthetic_research_anchored
B030,114,Red,Ventilated_ambient,0.964,0.673,11.013,29.36,62.39,249.03,29.26,62.48,251.35,5.81,0.78,4.49,76.74,94.43,0,86,synthetic_research_anchored
B166,93,Red,Warm_ambient,0.895,0.782,12.145,41.1,86.76,338.24,41.06,87.53,344.19,24.0,20.43,12.13,100.0,100.0,0,61,synthetic_research_anchored
B058,118,Yellow,Warm_ambient,0.836,0.933,10.146,36.06,79.58,302.11,35.93,79.22,305.67,22.33,14.84,11.46,100.0,100.0,0,66,synthetic_research_anchored
B052,99,Red,Ventilated_ambient,0.898,0.758,16.704,31.25,77.04,279.72,31.63,77.74,273.38,7.79,12.23,6.26,77.13,74.43,13,112,synthetic_research_anchored
B134,107,Red,Ventilated_ambient,0.855,0.663,19.411,35.21,73.96,305.78,35.28,74.81,307.07,20.76,10.53,9.26,100.0,99.66,0,95,synthetic_research_anchored
B048,29,Red,Warm_ambient,0.876,0.98,10.41,34.74,76.75,173.52,34.34,77.08,175.73,17.18,11.49,2.03,0.13,0.0,91,120,synthetic_research_anchored
B144,62,Yellow,Ventilated_ambient,0.872,0.765,15.441,36.46,61.69,251.7,36.63,62.09,247.51,22.15,1.77,4.81,60.49,40.12,17,79,synthetic_research_anchored
B134,36,Red,Ventilated_ambient,0.855,0.663,19.411,30.76,65.81,160.09,30.97,65.59,163.79,12.92,0.0,1.71,1.84,0.31,59,95,synthetic_research_anchored
B149,10,Yellow,Warm_ambient,0.907,0.674,16.105,35.41,58.84,165.03,35.47,59.57,170.18,20.24,0.31,0.88,0.0,0.95,60,70,synthetic_research_anchored
B040,100,Yellow,Ventilated_ambient,0.924,0.886,18.176,30.18,73.62,290.36,30.47,74.15,288.36,6.05,6.22,5.51,94.46,100.0,0,74,synthetic_research_anchored
B046,32,White,DOGR_like,0.819,0.826,19.921,28.57,64.34,150.63,28.83,64.02,147.24,2.33,1.37,1.0,0.0,0.71,50,82,synthetic_research_anchored
B105,24,Red,Warm_ambient,0.742,0.789,11.131,30.21,81.39,170.13,30.11,81.02,170.46,5.77,16.55,1.53,0.0,0.25,90,114,synthetic_research_anchored
B021,77,Red,Ventilated_ambient,0.949,0.939,19.361,29.23,70.85,220.29,29.52,71.19,219.78,6.65,4.74,3.46,60.87,59.42,13,90,synthetic_research_anchored
B116,65,Red,DOGR_like,0.849,0.787,13.088,25.6,63.53,189.98,25.89,63.82,190.65,0.0,0.0,1.73,17.61,18.81,28,93,synthetic_research_anchored
B121,49,Yellow,Warm_ambient,0.895,0.686,13.704,32.51,59.94,179.06,32.47,59.61,183.3,11.78,1.32,2.71,0.0,0.37,52,101,synthetic_research_anchored
B110,23,Red,Ventilated_ambient,0.858,0.98,10.41,33.43,90.31,181.42,33.4,90.82,186.14,14.72,24.0,2.22,0.05,0.55,65,88,synthetic_research_anchored
B077,90,Red,Warm_ambient,0.858,0.928,10.363,26.64,81.94,206.89,26.61,81.68,205.36,0.0,15.98,4.32,29.64,28.12,30,120,synthetic_research_anchored
B081,116,Yellow,Ventilated_ambient,0.966,0.926,10.344,30.85,72.06,277.46,30.83,72.52,281.04,9.86,8.04,6.65,83.93,100.0,0,101,synthetic_research_anchored
B131,116,Yellow,Ventilated_ambient,0.723,0.895,15.239,30.31,74.57,304.07,30.32,74.17,304.1,9.33,8.52,6.81,100.0,100.0,0,68,synthetic_research_anchored
B069,10,Red,Ventilated_ambient,0.899,0.946,17.775,35.82,73.06,165.85,36.09,72.81,159.79,20.15,6.09,0.7,0.0,0.51,85,95,synthetic_research_anchored
B054,105,Yellow,Ventilated_ambient,0.964,0.805,14.51,30.92,62.92,267.92,30.86,62.53,270.32,11.02,0.44,4.76,75.29,89.94,0,101,synthetic_research_anchored
B161,5,White,Ventilated_ambient,0.923,0.736,8.523,28.22,71.94,152.26,28.69,71.97,158.3,4.88,6.07,0.63,0.0,0.85,82,87,synthetic_research_anchored
B022,75,Red,Ventilated_ambient,0.935,0.66,12.338,29.53,78.93,312.24,30.0,78.43,309.29,5.54,12.72,4.32,99.82,92.51,0,72,synthetic_research_anchored
B004,104,Red,Ventilated_ambient,0.75,0.898,11.786,26.61,66.04,218.49,26.62,66.15,216.71,0.0,1.44,3.29,49.62,63.82,16,120,synthetic_research_anchored
B064,39,White,DOGR_like,0.938,0.762,8.039,23.95,71.58,156.91,23.96,71.81,153.4,0.0,6.35,1.2,0.93,1.24,51,90,synthetic_research_anchored
B093,80,White,Ventilated_ambient,0.843,0.876,19.125,25.16,68.56,193.59,25.29,68.62,192.88,0.12,2.35,2.27,50.25,63.91,12,92,synthetic_research_anchored
B070,104,Red,Ventilated_ambient,0.933,0.705,19.606,28.61,58.99,232.56,28.73,58.66,230.91,5.77,0.0,3.66,62.64,82.03,4,108,synthetic_research_anchored
B061,17,Red,Ventilated_ambient,0.897,0.661,14.373,25.45,72.15,165.29,25.22,71.92,168.83,1.25,6.48,0.43,0.0,0.36,68,85,synthetic_research_anchored
B136,108,Red,Ventilated_ambient,0.895,0.793,14.366,34.76,63.45,281.57,35.16,64.32,287.73,19.12,0.29,7.75,94.92,93.04,0,97,synthetic_research_anchored
B151,112,Red,DOGR_like,0.99,0.98,16.832,22.31,56.59,214.0,22.35,56.78,211.17,0.47,0.19,2.7,55.03,89.72,0,103,synthetic_research_anchored
B089,86,Red,Warm_ambient,0.877,0.727,17.572,30.92,81.39,298.46,30.59,81.58,304.29,10.46,15.25,5.86,100.0,95.38,0,84,synthetic_research_anchored
B066,8,Red,Ventilated_ambient,0.927,0.879,8.326,27.9,74.67,170.24,28.06,75.24,165.1,1.03,9.41,0.09,0.0,1.44,83,91,synthetic_research_anchored
B108,115,White,Ventilated_ambient,0.99,0.6,15.022,30.58,65.12,267.08,30.66,64.87,273.28,8.01,0.58,5.35,74.22,96.89,0,82,synthetic_research_anchored
B111,95,Red,Warm_ambient,0.843,0.735,12.769,28.78,82.24,302.38,28.64,82.77,297.28,4.76,15.46,5.24,100.0,100.0,0,78,synthetic_research_anchored
B163,45,Red,DOGR_like,0.825,0.63,11.864,24.23,63.61,164.24,24.49,63.6,161.45,0.0,0.0,1.16,6.34,9.11,33,78,synthetic_research_anchored
B083,91,Yellow,Warm_ambient,0.926,0.94,9.763,27.87,66.6,253.25,27.87,65.88,258.5,3.79,0.9,2.82,65.74,93.78,0,80,synthetic_research_anchored
B167,79,Yellow,Ventilated_ambient,0.81,0.722,11.9,31.73,71.19,223.3,31.99,70.83,226.26,9.89,5.55,4.63,34.09,27.49,26,105,synthetic_research_anchored
B102,6,Yellow,Ventilated_ambient,0.921,0.96,11.592,31.81,60.25,150.19,31.91,60.79,150.8,11.35,0.8,0.14,0.0,0.56,96,102,synthetic_research_anchored
B099,10,Yellow,DOGR_like,0.91,0.726,18.013,26.17,63.48,154.83,25.95,63.23,162.09,0.0,0.89,0.18,0.19,1.55,110,120,synthetic_research_anchored
B117,92,Red,Ventilated_ambient,0.869,0.668,15.262,32.06,75.55,304.69,32.56,75.93,305.7,11.34,10.59,6.7,100.0,100.0,0,76,synthetic_research_anchored
B138,2,Red,DOGR_like,0.859,0.752,10.457,24.45,57.57,140.09,24.21,56.92,140.0,1.87,1.25,0.3,0.0,0.0,118,120,synthetic_research_anchored
B171,30,Yellow,Ventilated_ambient,0.955,0.905,19.793,24.14,73.55,143.01,24.24,73.51,135.76,0.0,7.55,1.29,0.45,0.67,63,93,synthetic_research_anchored
B141,120,Red,Warm_ambient,0.92,0.822,8.109,31.77,71.25,292.48,32.14,70.81,297.8,11.26,5.91,7.37,100.0,99.35,0,94,synthetic_research_anchored
B109,82,Red,Ventilated_ambient,0.918,0.775,17.875,26.82,70.02,231.76,26.45,69.33,232.77,0.08,4.99,2.54,64.44,87.95,0,81,synthetic_research_anchored
B176,39,Yellow,Warm_ambient,0.78,0.91,16.359,28.38,75.68,163.12,28.5,75.33,158.03,2.28,8.55,1.57,1.95,1.56,53,92,synthetic_research_anchored
B056,9,Red,Ventilated_ambient,0.951,0.893,18.437,26.76,72.26,162.62,27.3,71.96,160.0,0.4,7.23,0.0,0.0,0.0,97,106,synthetic_research_anchored
B152,114,Yellow,Warm_ambient,0.875,0.79,9.489,32.95,69.35,309.73,33.15,69.13,313.08,16.48,4.73,7.15,100.0,100.0,0,71,synthetic_research_anchored
B062,28,White,DOGR_like,0.883,0.85,18.992,27.76,61.79,155.8,28.23,62.41,158.81,1.16,0.0,0.89,0.45,2.12,52,80,synthetic_research_anchored
B146,114,Yellow,Warm_ambient,0.906,0.824,12.681,30.95,76.32,289.81,30.92,76.62,286.64,9.47,9.53,7.11,100.0,100.0,0,80,synthetic_research_anchored
B169,27,Red,Ventilated_ambient,0.835,0.754,19.832,23.63,76.14,147.12,23.56,76.79,143.12,0.0,11.85,1.33,0.0,0.0,69,96,synthetic_research_anchored
B100,58,White,Ventilated_ambient,0.99,0.798,11.935,25.82,69.88,158.18,26.03,69.48,157.85,0.0,6.52,2.04,0.6,0.63,55,113,synthetic_research_anchored
B069,57,Red,Ventilated_ambient,0.899,0.946,17.775,35.63,69.79,190.09,35.97,69.11,192.24,20.92,4.33,4.67,8.9,7.06,38,95,synthetic_research_anchored
B109,102,Red,Ventilated_ambient,0.918,0.775,17.875,28.52,65.96,260.41,28.75,65.97,260.37,4.34,2.24,3.52,70.13,96.39,0,81,synthetic_research_anchored
B092,92,Yellow,DOGR_like,0.85,0.781,11.079,28.51,61.54,255.02,28.4,61.52,253.93,3.62,0.0,3.42,72.02,93.23,0,72,synthetic_research_anchored
B062,92,White,DOGR_like,0.883,0.85,18.992,28.48,59.07,248.03,28.34,58.88,248.81,2.67,0.0,3.01,66.13,89.91,0,80,synthetic_research_anchored
B001,3,Red,Warm_ambient,0.925,0.972,9.872,34.33,81.15,190.1,34.42,80.27,191.39,17.13,14.7,0.0,0.0,0.0,72,75,synthetic_research_anchored
B075,87,Red,Ventilated_ambient,0.89,0.863,11.502,30.32,71.57,284.68,29.95,71.31,289.38,6.85,6.34,4.46,80.46,88.62,0,87,synthetic_research_anchored
B145,38,Red,Ventilated_ambient,0.882,0.72,13.572,30.9,64.32,140.66,30.85,64.02,140.27,10.96,1.54,1.86,0.52,0.16,69,107,synthetic_research_anchored
B017,92,Red,Ventilated_ambient,0.936,0.932,19.399,28.28,72.34,284.13,28.15,72.0,284.82,2.51,6.09,3.98,75.62,91.92,0,90,synthetic_research_anchored
B019,4,Red,Ventilated_ambient,0.863,0.681,15.661,32.36,73.22,165.0,32.67,73.31,162.69,13.44,9.05,0.25,0.7,0.0,86,90,synthetic_research_anchored
B064,102,White,DOGR_like,0.938,0.762,8.039,28.71,69.9,258.44,28.43,70.78,265.57,4.98,4.34,4.25,79.48,97.79,0,90,synthetic_research_anchored
B128,35,Yellow,Warm_ambient,0.875,0.67,13.945,37.52,71.46,191.69,37.16,71.38,185.92,24.0,4.39,3.43,14.0,11.22,28,63,synthetic_research_anchored
B043,34,Red,Ventilated_ambient,0.809,0.876,18.684,35.24,64.32,162.1,35.12,63.18,163.8,19.08,0.0,2.75,2.32,3.98,40,74,synthetic_research_anchored
B123,24,Yellow,Ventilated_ambient,0.837,0.802,13.128,28.34,66.24,172.18,28.33,65.74,165.26,1.4,2.4,0.61,1.88,1.2,68,92,synthetic_research_anchored
B015,38,Red,Ventilated_ambient,0.901,0.863,8.41,30.53,71.55,157.16,30.38,71.87,161.97,10.37,7.56,2.08,1.78,3.64,42,80,synthetic_research_anchored
B160,25,Red,DOGR_like,0.946,0.682,14.162,26.9,58.96,162.15,26.78,58.47,164.11,0.0,0.0,0.55,1.09,0.0,95,120,synthetic_research_anchored
B102,86,Yellow,Ventilated_ambient,0.921,0.96,11.592,33.8,68.31,253.4,33.91,68.06,254.83,16.02,4.28,5.67,65.35,57.82,16,102,synthetic_research_anchored
B020,93,Yellow,Warm_ambient,0.899,0.764,19.121,35.59,72.61,301.63,36.07,73.21,307.11,21.0,8.71,7.72,100.0,100.0,0,72,synthetic_research_anchored
B172,84,Yellow,Ventilated_ambient,0.867,0.778,16.521,32.96,60.32,175.81,32.24,60.44,174.33,14.46,0.0,4.97,20.75,15.36,34,118,synthetic_research_anchored
B045,67,Red,Ventilated_ambient,0.901,0.797,15.245,28.5,91.71,191.97,28.57,91.18,192.23,4.29,24.0,4.66,9.1,8.26,39,106,synthetic_research_anchored
B171,34,Yellow,Ventilated_ambient,0.955,0.905,19.793,22.52,78.32,159.99,22.41,78.4,164.0,0.6,11.34,1.43,0.34,0.69,59,93,synthetic_research_anchored
B042,120,Red,Ventilated_ambient,0.829,0.946,10.717,31.03,63.97,256.06,30.95,63.41,255.42,10.26,1.42,5.81,74.1,94.44,0,111,synthetic_research_anchored
B153,31,Yellow,Warm_ambient,0.92,0.98,13.087,29.55,68.2,181.76,29.7,68.67,182.31,5.69,2.83,1.57,0.0,0.0,83,114,synthetic_research_anchored
B124,55,Red,Warm_ambient,0.923,0.821,11.539,39.67,78.16,223.19,39.91,78.12,226.07,24.0,11.25,6.12,15.16,10.47,34,89,synthetic_research_anchored
B044,24,Yellow,Warm_ambient,0.867,0.872,11.746,37.3,82.64,189.53,37.18,82.84,194.66,24.0,19.83,2.79,1.3,1.23,55,79,synthetic_research_anchored
B175,54,Red,DOGR_like,0.893,0.805,11.153,26.55,62.78,129.31,26.33,63.86,130.56,0.0,0.0,1.14,4.93,5.22,39,93,synthetic_research_anchored
B123,31,Yellow,Ventilated_ambient,0.837,0.802,13.128,27.58,65.63,153.5,27.84,65.23,156.0,1.16,0.0,0.61,0.0,1.2,61,92,synthetic_research_anchored
B110,73,Red,Ventilated_ambient,0.858,0.98,10.41,32.22,83.42,273.83,31.75,83.23,277.36,13.95,18.09,5.99,72.54,57.8,15,88,synthetic_research_anchored
B028,74,Red,DOGR_like,0.912,0.904,12.891,26.12,61.39,150.17,26.44,61.66,149.72,0.0,0.0,1.91,4.05,4.34,46,120,synthetic_research_anchored
B053,48,White,DOGR_like,0.909,0.927,11.662,26.63,71.98,172.34,26.55,72.91,171.22,0.0,6.27,1.53,20.39,23.46,22,70,synthetic_research_anchored
B137,11,Yellow,Warm_ambient,0.948,0.827,8.197,30.21,67.69,168.65,30.58,67.27,168.11,8.03,1.56,0.43,0.0,0.17,63,74,synthetic_research_anchored
B131,9,Yellow,Ventilated_ambient,0.723,0.895,15.239,26.44,74.59,167.42,26.27,74.67,166.32,0.0,9.46,0.31,1.27,0.17,59,68,synthetic_research_anchored
B001,42,Red,Warm_ambient,0.925,0.972,9.872,33.24,79.65,197.74,33.32,81.19,202.22,14.83,12.92,3.56,11.66,8.36,33,75,synthetic_research_anchored
B133,113,Red,DOGR_like,0.9,0.98,19.308,27.23,64.81,245.98,27.0,64.76,245.34,0.18,0.12,3.38,58.24,93.0,0,105,synthetic_research_anchored
B177,107,Red,DOGR_like,0.852,0.693,17.092,31.03,65.18,270.0,31.15,65.18,265.65,12.83,0.0,5.58,78.42,89.01,0,106,synthetic_research_anchored
B160,109,Red,DOGR_like,0.946,0.682,14.162,26.41,55.07,214.32,26.63,55.31,213.81,0.0,1.84,2.49,54.35,71.4,11,120,synthetic_research_anchored
B115,112,Yellow,Warm_ambient,0.907,0.86,9.002,26.73,76.77,292.18,26.69,76.8,291.23,1.0,10.67,4.68,80.95,100.0,0,90,synthetic_research_anchored
B007,69,Yellow,Ventilated_ambient,0.866,0.802,15.565,29.1,65.71,239.85,29.13,65.88,240.19,5.85,1.06,2.54,55.34,59.14,11,80,synthetic_research_anchored
B050,77,Red,Ventilated_ambient,0.875,0.85,9.153,23.43,64.53,158.33,23.58,64.2,158.09,0.0,0.0,1.97,9.96,14.0,35,112,synthetic_research_anchored
B004,33,Red,Ventilated_ambient,0.75,0.898,11.786,31.34,65.95,152.51,31.61,66.42,154.45,11.71,0.0,1.95,0.0,0.0,87,120,synthetic_research_anchored
B178,28,Yellow,DOGR_like,0.819,0.774,11.418,26.64,58.91,147.72,26.34,58.65,145.26,0.0,0.0,0.7,0.0,0.54,65,93,synthetic_research_anchored
B085,98,Yellow,Warm_ambient,0.916,0.854,15.599,29.27,60.23,246.31,29.05,60.37,243.74,3.5,0.0,3.54,70.2,83.45,1,99,synthetic_research_anchored
B034,92,Red,DOGR_like,0.917,0.836,17.176,27.99,60.85,216.23,27.86,61.51,217.4,2.43,0.0,2.75,59.53,76.23,6,98,synthetic_research_anchored
B135,114,Red,Ventilated_ambient,0.844,0.662,8.589,29.77,77.25,292.49,29.53,77.19,288.75,6.55,11.03,6.74,93.94,100.0,0,92,synthetic_research_anchored
B140,48,White,Ventilated_ambient,0.831,0.764,10.568,32.18,58.6,184.16,31.89,58.91,183.89,12.15,0.0,2.44,20.08,18.13,25,73,synthetic_research_anchored
B171,104,Yellow,Ventilated_ambient,0.955,0.905,19.793,28.95,72.34,271.06,28.47,72.94,268.14,5.82,6.17,4.68,82.97,99.21,0,93,synthetic_research_anchored
B105,2,Red,Warm_ambient,0.742,0.789,11.131,29.42,77.63,156.5,29.3,77.8,155.71,3.33,12.19,0.29,0.63,0.0,112,114,synthetic_research_anchored
B127,4,Red,Warm_ambient,0.905,0.695,13.112,29.03,76.08,172.28,28.88,76.37,173.8,3.87,10.36,0.53,0.0,2.61,72,76,synthetic_research_anchored
B080,63,Yellow,Warm_ambient,0.978,0.723,8.99,31.82,67.44,181.12,31.72,67.21,184.94,12.63,0.46,3.64,12.04,10.66,35,98,synthetic_research_anchored
B171,79,Yellow,Ventilated_ambient,0.955,0.905,19.793,25.14,70.69,213.89,25.69,70.55,212.17,0.0,4.79,2.55,49.9,58.96,14,93,synthetic_research_anchored
B054,20,Yellow,Ventilated_ambient,0.964,0.805,14.51,27.75,67.92,154.62,27.44,67.86,152.84,2.71,4.28,0.82,0.0,0.19,81,101,synthetic_research_anchored
B036,98,White,DOGR_like,0.783,0.909,9.333,27.18,58.25,227.22,27.21,58.68,226.25,0.0,0.0,2.59,62.32,91.36,0,74,synthetic_research_anchored
B070,0,Red,Ventilated_ambient,0.933,0.705,19.606,28.29,57.53,148.63,28.27,57.61,146.15,4.19,0.0,0.13,0.0,0.15,108,108,synthetic_research_anchored
B030,23,Red,Ventilated_ambient,0.964,0.673,11.013,27.41,61.73,157.07,27.13,62.47,157.81,3.52,0.0,0.62,0.87,2.42,63,86,synthetic_research_anchored
B004,44,Red,Ventilated_ambient,0.75,0.898,11.786,29.71,65.38,161.93,29.48,65.14,166.23,7.09,2.86,1.77,0.0,0.35,76,120,synthetic_research_anchored
B091,61,Yellow,DOGR_like,0.834,0.752,14.414,23.22,66.01,137.04,23.2,66.73,124.67,1.4,1.72,1.91,1.95,2.28,49,110,synthetic_research_anchored
B001,46,Red,Warm_ambient,0.925,0.972,9.872,36.59,83.22,197.11,36.73,82.89,199.39,22.1,15.33,4.53,20.89,14.19,29,75,synthetic_research_anchored
B179,53,Red,DOGR_like,0.99,0.897,9.551,31.0,67.47,182.66,31.04,67.72,186.77,11.53,3.43,2.39,13.01,13.62,30,83,synthetic_research_anchored
B045,114,Red,Ventilated_ambient,0.901,0.797,15.245,29.24,84.13,294.38,29.13,84.38,289.97,6.16,18.25,7.33,95.91,100.0,0,106,synthetic_research_anchored
B061,109,Red,Ventilated_ambient,0.897,0.661,14.373,30.01,73.96,298.75,30.06,74.46,292.06,7.46,7.8,5.98,95.08,100.0,0,85,synthetic_research_anchored
B178,33,Yellow,DOGR_like,0.819,0.774,11.418,27.56,61.97,155.57,27.51,62.49,154.77,0.0,0.0,1.02,0.0,0.36,60,93,synthetic_research_anchored
B106,95,Red,Ventilated_ambient,0.976,0.78,18.376,32.42,66.12,220.25,32.3,65.94,216.68,14.04,0.0,5.44,43.16,39.37,25,120,synthetic_research_anchored
B115,42,Yellow,Warm_ambient,0.907,0.86,9.002,28.46,80.99,194.75,28.79,81.08,198.48,3.97,13.8,1.92,1.35,2.25,48,90,synthetic_research_anchored
B123,10,Yellow,Ventilated_ambient,0.837,0.802,13.128,28.77,70.07,171.3,28.44,70.46,170.91,3.79,6.97,0.46,0.27,0.41,82,92,synthetic_research_anchored
B044,109,Yellow,Warm_ambient,0.867,0.872,11.746,34.17,80.24,300.05,33.9,80.63,306.37,17.01,14.09,9.13,100.0,100.0,0,79,synthetic_research_anchored
B038,2,Red,DOGR_like,0.99,0.683,12.468,27.55,57.16,137.73,27.52,57.27,139.03,2.35,0.98,0.11,0.72,0.88,118,120,synthetic_research_anchored
B053,56,White,DOGR_like,0.909,0.927,11.662,26.09,70.25,207.07,26.41,70.04,205.54,0.0,3.15,1.89,39.56,46.0,14,70,synthetic_research_anchored
B108,107,White,Ventilated_ambient,0.99,0.6,15.022,31.72,63.24,259.23,31.98,63.5,260.4,11.23,0.0,5.27,78.11,95.02,0,82,synthetic_research_anchored
B035,89,Red,Ventilated_ambient,0.887,0.823,13.801,32.82,69.16,235.54,33.01,68.61,246.42,12.23,5.1,6.07,53.3,42.83,22,111,synthetic_research_anchored
B124,117,Red,Warm_ambient,0.923,0.821,11.539,42.59,77.71,322.75,42.66,78.04,322.55,24.0,13.81,15.16,100.0,100.0,0,89,synthetic_research_anchored
B067,33,Yellow,Ventilated_ambient,0.897,0.918,12.463,28.82,67.45,155.6,28.43,67.67,150.64,2.82,1.16,1.09,0.55,0.0,87,120,synthetic_research_anchored
B087,22,Yellow,Ventilated_ambient,0.773,0.879,11.239,34.83,68.08,177.71,34.77,67.46,175.0,17.4,2.47,1.63,0.0,0.0,75,97,synthetic_research_anchored
B088,1,Red,DOGR_like,0.869,0.877,19.208,27.98,57.27,131.63,27.98,57.82,129.39,3.82,0.0,0.01,0.46,0.68,118,119,synthetic_research_anchored
B167,7,Yellow,Ventilated_ambient,0.81,0.722,11.9,32.38,71.37,159.9,32.6,72.17,159.89,13.39,5.52,0.53,1.55,0.32,98,105,synthetic_research_anchored
B174,66,Yellow,Ventilated_ambient,0.844,0.814,11.93,29.68,63.21,172.19,29.45,63.26,177.01,7.57,0.2,2.79,3.27,3.16,48,114,synthetic_research_anchored
B149,36,Yellow,Warm_ambient,0.907,0.674,16.105,35.67,65.57,180.7,35.7,66.05,183.09,21.59,0.72,2.85,7.35,7.01,34,70,synthetic_research_anchored
B142,46,White,Ventilated_ambient,0.963,0.742,16.589,32.59,77.02,209.61,32.83,78.38,218.56,13.52,10.52,3.37,24.64,18.41,25,71,synthetic_research_anchored
B064,109,White,DOGR_like,0.938,0.762,8.039,26.26,70.88,248.05,26.11,70.81,248.27,1.05,5.57,3.75,72.61,99.91,0,90,synthetic_research_anchored
B125,61,Yellow,Ventilated_ambient,0.874,0.679,13.26,24.78,68.16,198.92,24.69,68.24,202.25,0.0,2.74,1.97,17.29,20.67,27,88,synthetic_research_anchored
B143,73,Red,Ventilated_ambient,0.879,0.732,12.205,31.53,74.09,265.06,31.59,74.52,265.57,11.99,8.91,4.78,72.32,55.05,15,88,synthetic_research_anchored
B083,0,Yellow,Warm_ambient,0.926,0.94,9.763,33.81,64.33,153.42,33.23,64.11,149.13,16.4,0.22,0.16,0.23,0.0,80,80,synthetic_research_anchored
B021,65,Red,Ventilated_ambient,0.949,0.939,19.361,27.19,71.36,196.6,27.0,70.96,189.32,0.85,6.42,2.22,24.19,24.93,25,90,synthetic_research_anchored
B055,52,Red,Ventilated_ambient,0.864,0.778,9.216,29.62,82.37,164.24,29.44,81.5,158.03,6.06,17.22,3.2,0.13,0.31,62,114,synthetic_research_anchored
B068,113,Yellow,Warm_ambient,0.849,0.756,19.824,31.9,81.08,330.49,31.86,80.58,330.44,10.83,16.99,8.33,100.0,100.0,0,69,synthetic_research_anchored
B075,12,Red,Ventilated_ambient,0.89,0.863,11.502,30.4,67.32,152.89,30.25,67.26,152.4,7.56,5.3,0.56,0.5,0.57,75,87,synthetic_research_anchored
B112,39,Yellow,Ventilated_ambient,0.841,0.828,14.367,31.82,66.43,168.96,32.02,66.82,179.9,10.06,1.21,1.86,0.0,0.0,81,120,synthetic_research_anchored
B138,36,Red,DOGR_like,0.859,0.752,10.457,25.74,54.48,150.01,25.43,54.19,148.67,0.02,0.0,0.74,0.0,0.33,84,120,synthetic_research_anchored
B033,78,Red,Ventilated_ambient,0.899,0.912,14.14,33.42,70.09,175.79,33.45,69.71,176.83,16.1,6.91,5.29,8.22,8.26,42,120,synthetic_research_anchored
B047,81,Red,DOGR_like,0.949,0.772,10.972,23.27,68.0,229.89,23.14,68.5,232.6,0.0,2.87,2.33,46.6,58.21,14,95,synthetic_research_anchored
B106,65,Red,Ventilated_ambient,0.976,0.78,18.376,33.16,67.69,166.11,33.31,68.0,162.52,13.31,3.05,3.84,1.65,1.25,55,120,synthetic_research_anchored
B021,63,Red,Ventilated_ambient,0.949,0.939,19.361,28.29,67.58,201.16,28.21,67.36,213.69,1.8,2.41,2.41,18.45,22.2,27,90,synthetic_research_anchored
B079,109,Yellow,Warm_ambient,0.883,0.761,17.054,33.25,92.0,342.5,33.05,92.45,338.6,15.77,24.0,10.31,100.0,100.0,0,78,synthetic_research_anchored
B070,64,Red,Ventilated_ambient,0.933,0.705,19.606,32.11,52.48,144.4,31.97,52.21,146.44,14.0,0.0,3.51,3.53,4.19,44,108,synthetic_research_anchored
B056,115,Red,Ventilated_ambient,0.951,0.893,18.437,27.82,72.38,274.14,27.76,72.21,275.29,3.0,8.95,4.21,73.48,98.7,0,106,synthetic_research_anchored
